"id","new_id"
"0101801006","H2416a-007"
"0101801008","H1121a-065"
"0101801016","H0310a-018"
"0101801205","H0310a-024"
"0101801209","H5730b-002"
"0101801408","H2416a-007"
"0101801410","H1121a-065"
"0101801506","H3588a-005"
"0101801510","H3588a-005"
"0101801601","H6965b-090"
"0101801603","H0376-008"
"0101801605","H5921a-006"
"0101801610","H5973a-016"
"0101801706","H0834a-003"
"0101801708","H6213a-137"
"0101801804","H1471a-019"
"0101801805","H1419a-025"
"0101801810","H1471a-012"
"0101801901","H3588a-005"
"0101801904","H0834a-003"
"0101801907","H1121a-023"
"0101801909","H1004b-018"
"0101801910","H0310a-018"
"0101801914","H6213a-068"
"0101801920","H5921a-006"
"0101801923","H0834a-003"
"0101801925","H5921a-026"
"0101802006","H3588a-005"
"0101802007","H7227a-004"
"0101802008","H2403b-051"
"0101802009","H3588a-005"
"0101802107","H6213a-063"
"0101802109","H0518a-002"
"0101802204","H3212-017"
"0101802307","H5973a-007"
"0101802406","H5892b-039"
"0101802415","H0834a-003"
"0101802503","H6213a-066"
"0101802508","H5973a-007"
"0101802519","H6213a-132"
"0101802603","H0518a-003"
"0101802609","H5892b-039"
"0101802701","H6030b-032"
"0101802810","H5892b-039"
"0101802814","H0518a-003"
"0101802912","H6213a-139"
"0101803013","H6213a-139"
"0101803014","H0518a-003"
"0101803301","H3212-024"
"0101803303","H0834d-003"
"0101900112","H6965b-064"
"0101900208","H1004b-064"
"0101900210","H3885a-003"
"0101900218","H3588a-005"
"0101900220","H3885a-025"
"0101900308","H1004b-018"
"0101900309","H6213a-010"
"0101900403","H0376-007"
"0101900404","H5892b-039"
"0101900405","H0376-004"
"0101900408","H5921a-006"
"0101900409","H1004b-065"
"0101900414","H5971a-060"
"0101900415","H7097a-010"
"0101900508","H0834a-003"
